address,number,addressInfo,levels,label,usage,comment,priceRange,toGo,startY,endY,inhabited,moreIndustry,seats,barTable,railings,roof,branded,createdAt
Spielbudenplatz,29-30,Haus,2,St. Pauli Theater,Theater,Vater und Sohn Betrieb; Konzertagentur; Theateragentur,,,,,FALSCH,,,,,,,4/20/2016
Spielbudenplatz,29,EG,2,sanktpaulibar,Bar,gepachtet vom St. Pauli Theater,,,,,FALSCH,,25,,,,,4/20/2016
Spielbudenplatz,28,EG,2,Glanz & Gloria im Schmidts TIVOLI,Bar,Getränkeliste: Bier 2.9€ ist durchgestrichen --> vermutlich teurer geworden,4,,,,FALSCH,,,,,,,4/20/2016
Spielbudenplatz,27,Haus,2,Schmidts TIVOLI,Theater,inkl. Hausbar welche direkt an Platz liefert wie z.B. Currywurst+Astra,,,,,FALSCH,,,,,,,4/20/2016
Spielbudenplatz,27,EG,2,Angie's Nightclub,Diskothek,livemusik/tanzen/cocktail; öffnet direkt nach der Theatervorstellung bis open End,,,,,FALSCH,,,,,,,4/20/2016
Spielbudenplatz,24,Haus,4,Schmidt Theater,Theater,inkl. Hausbar; weiteres Gewerbe im Haus,,,,,FALSCH,WAHR,,,,,,4/20/2016
Spielbudenplatz,21-22,Haus,5,Klubhaus,,BID; LED Animation zeigt Infos zum BID; weitere Infos siehe HP: http://klubhaus-stpauli.de/,,,,,FALSCH,WAHR,,,,,WAHR,4/20/2016
Spielbudenplatz,21-22,EG,5,Sommersalon,Bar,im Sommer zwei Außentheken (März bis September); ,,,,,FALSCH,WAHR,48,,,,WAHR,4/20/2016
Spielbudenplatz,21-22,EG,5,Schmidtchens Alte Liebe,Bar,ab 22h wird die Bar zum Club,,,,,FALSCH,WAHR,88,,,,,4/20/2016
Spielbudenplatz,21-22,EG,5,Schmidtchen Theater,Theater,,,,,,FALSCH,WAHR,,,,,,4/20/2016
Spielbudenplatz,21-22,UG,5,Bahnhof Pauli,Club,Genre: Techno; Frühclub...,,,,,FALSCH,WAHR,,,,,,4/20/2016
Spielbudenplatz,21-22,OG,5,Häkken,Bar,erst Lounge/Bar dann teilweise später Club/Party (Kooperativ); Bier über 3€,4,,,,FALSCH,WAHR,,,,,,4/20/2016
Spielbudenplatz,21-22,OG,5,Kukuun,Bar,teure Getränke,,,,,FALSCH,WAHR,,,,,,4/20/2016
Spielbudenplatz,21-22,OG,5,Lasertag,Unterhaltung,,,,,,FALSCH,WAHR,,,,,,4/20/2016
Spielbudenplatz,19,Haus,3,Docks,Club,Konzerte und Clubpartys; Verwaltung und eine Wohnung in den OGs; Prinzenbar gehört auch dazu ,,,,,WAHR,WAHR,,,,,WAHR,4/20/2016
Spielbudenplatz,18,EG,4,Condomerie,Sexshop,erst spezieller Kondomverkauf; inzwischen Sexshop bzw. Tourishop; Betreiber ist auch in der Betreibergesellschaft Spielbudenplatz,,,,,WAHR,WAHR,,,,,,4/20/2016
Spielbudenplatz,18,EG,4,MAN WAH,Restaurant,Chinesisch,,,,,,,,,,,,4/20/2016
Spielbudenplatz,Platz,,,St. Pauli Theater,Außenbar,blauer Kontainer,,,,,,,150,,,,,4/20/2016
Spielbudenplatz,Platz,,,Pura Vida,Außenbar,grüner Kontainer,,,,,,,150,,,,,4/20/2016
Spielbudenplatz,Platz,,,Sommersalon Kontainer,Außenbar,zwei orangene Kontainer,,,,,,,300,,,,,4/20/2016
Spielbudenplatz,Platz,,,heiße Ecke,Außenbar,bei der ehemaligen Bühne welche Ende 2015 abgebrannt ist,,,,,,,180,,,,,4/20/2016
Spielbudenplatz,Platz,,,Bühne,Veranstaltungsfläche,,,,,,,,,,,,,4/21/2016
Spielbudenplatz,Platz,,,Olivias Biergarten,Außenbar,insgesamt drei Hütten für den Getränkeverkauf; Ticketverkauf und Start von den Touritouren; sieht ungenutzt aus,,,,,,,24,,,,,4/21/2016
Spielbudenplatz,Platz,UG,,Reeperbahn Garagen,Garage,,,,,,,,,,,,,4/21/2016
Spielbudenplatz,4-17??,Fläche,,ehemaliges Essoareal,,Baufläche; großflächige Werbeflächen,,,,,,,,,,,,4/20/2016
Spielbudenplatz,3,Haus,1,Panoptikum,Unterhaltung,Betreiber ist Mitglied im Lenkungsausschuss BID und vorher auch Mitglied in der IG St. Pauli gewesen,,,,,,,,,,,,4/21/2016
Spielbudenplatz,1,Haus,2,Stage Operettenhaus,Theater,Musical und Theater,,,,,,,,,,,,4/21/2016
