address,number,addressInfo,levels,label,usage,comment,priceRange,toGo,startY,endY,inhabited,moreIndustry,seats,barTable,railings,roof,branded,createdAt;;
DavidstraÌÙe,17,Haus,1,Sankt-Pauli-Museum,Museum,Sprechzeiten des BID finden dort statt,,,,,true,true,,,,,,5/31/2016;;
DavidstraÌÙe,16,EG,1,SN StehcafÌ©,Kiosk,,,,,,,,,,,,,5/31/2016;;
DavidstraÌÙe,15,EG,2,Tasija,Club,ehemals Golden Fire; leerstand in Ogs,,,,,,,,,,,,5/31/2016;
DavidstraÌÙe,13,UG,2,Lokal Patriot,Club,,,,,,,,,,,,,5/31/2016;;
DavidstraÌÙe,13,EG,2,The Other Place,Kneipe,Genre: rock ; leerstand in Ogs,,,,,,,,,,,,5/31/2016;
DavidstraÌÙe,12,EG,1,Zum Anker,Kneipe,,,,,,,,,,,,,5/31/2016;;
DavidstraÌÙe,11,EG,1,Cuneo,Restaurant,Italiener; Ì_lteste Italiener in Hamburg,,,1905,,,,,,,,,5/31/2016;
DavidstraÌÙe,10,EG,0,Hafen Kiosk,Kiosk,,,,,,,,,,,,,5/31/2016;;
DavidstraÌÙe,10,EG,0,Goldenstar,Spielhalle,,,,,,,,,,,,,5/31/2016;;
DavidstraÌÙe,5,EG,???,TopKauf,Einzelhandel,Lebensmittel,,,,,true,,,,,,,5/31/2016;;
DavidstraÌÙe,5,EG,???,Chopper-Vermietung,Einzelhandel,Chopper Einzelhandel und Vermietung,,,,,true,,,,,,,5/31/2016;;
DavidstraÌÙe,5,EG,???,Hootsy Tootsy,Einzelhandel,Handmade,,,,,true,,,,,,,5/31/2016;;
DavidstraÌÙe,4,EG,???,Savci,Einzelhandel,,,,,,true,,,,,,,5/31/2016;;
DavidstraÌÙe,4,EG,???,Transmontana,CafÌ©,,,,,,true,,15,,,,,5/31/2016;;
DavidstraÌÙe,3,EG,3,Alibarber Shop,Dienstleistung,Friseur,,,,,,,,,,,,5/31/2016;;
DavidstraÌÙe,3,EG,3,David`s Kauf 1x1,Kiosk,,,,,,,,,,,,,5/31/2016;;
DavidstraÌÙe,3,EG,3,Hafen Kiosk,Kiosk,,,,,,,,,,,,,5/31/2016;;
"DavidstraÌÙe,3,EG,3,Zur scharfen Ecke,Kneipe,""durch das Empire wurde die Kneipe von einer Anwohner Kneipe zu einer """"gehobenen"""" Kneipe"",,,1911,,,,,,,,,5/31/2016";;
Bernhard-Nocht-StraÌÙe,97,Haus,20,Empire Riverside Hotel,Hotel,inkl. Twenty Up Bar,,,,,,,,,,,,5/31/2016;;
DavidstraÌÙe,37,Haus,5,Copper House,Restaurant,Verwaltung von Fraatz in den Ogs; weitere Firmen/Agenturen im Haus,,,,,false,true,,,,,,5/31/2016;
DavidstraÌÙe,36,EG,4,La Ilongga,Leerstand,,,,,,true,,,,,,,5/31/2016;;
DavidstraÌÙe,34,UG,4,Zum Windjammer,Kneipe,,,,,,true,,,,,,,5/31/2016;;
DavidstraÌÙe,34,EG,4,Kiosk Mittenmang,Kiosk,,,,,,true,,,,,,,5/31/2016;;
DavidstraÌÙe,31,EG,4,Pinoy,Bar,Latino,,,,,true,,,,,,,5/31/2016;;
DavidstraÌÙe,31,EG,4,Stay Gold,Einzelhandel,Kleidung,,,,,true,,,,,,,5/31/2016;;
DavidstraÌÙe,30,EG,4,Kiezdruck Galerie,Galerie,ehemals Sty Alive,,,,,true,,,,,,,5/31/2016;;
DavidstraÌÙe,29,EG,4,Taverna Hellas,Restaurant,Grieche; seit 40 Jahren hier,,,,,true,,,,,,,5/31/2016;
DavidstraÌÙe,29,EG,4,Mother's Fine Coffee,CafÌ©,,,,,,true,,,,,,,5/31/2016;;
FriedrichstraÌÙe,4,EG,1,Blaue Nacht,Kneipe,,,,,,,,,,,,,5/31/2016;;
FriedrichstraÌÙe,6,UG,1,Die Grotte,Kneipe,,,,,,,,,,,,,5/31/2016;;
FriedrichstraÌÙe,8,EG,2,Purgatory,Club,,,,,,true,,,,,,,5/31/2016;;
FriedrichstraÌÙe,12,EG,2,Venus Bar,Bar,inkl. Biergarten,,,,,true,,,,,,,5/31/2016;;
FriedrichstraÌÙe,16,EG,2,Lucky Star 2,Bar,,,,,,true,,,,,,,5/31/2016;;
FriedrichstraÌÙe,18,EG,2,Friedrich's,Bar,,,,,,true,,,,,,,5/31/2016;;
FriedrichstraÌÙe,22,EG,2,Die Rutsche,Bar,,,,,,true,,,,,,,5/31/2016;;
FriedrichstraÌÙe,24,EG,2,Murphy's Irish Pub,Irish Pub,,,,,,true,,,,,,,5/31/2016;;
FriedrichstraÌÙe,11,EG,5,La Paloma Bar,Kneipe,126/127/128 gehÌ¦ren zusammen -> siehe Homepages,,,,,true,,,,,,,5/31/2016;;
FriedrichstraÌÙe,11,EG,5,Astra Bar,Bar,126/127/128 gehÌ¦ren zusammen -> siehe Homepages,,,,,true,,,,,,,5/31/2016;;
FriedrichstraÌÙe,11,EG,5,Bar Automatic Roadrunner,Bar,126/127/128 gehÌ¦ren zusammen -> siehe Homepages,,,,,true,,,,,,,5/31/2016;;
FriedrichstraÌÙe,9,EG,4,Soundgarden No 9,Bar,,,,,,true,,30,3,,,,5/31/2016;;
FriedrichstraÌÙe,9,EG,4,Emy Nails,Dienstleistung,Nagelstudio,,,,,,,,,,,,5/31/2016;;
FriedrichstraÌÙe,7b,EG,0,Osborne,Kneipe,Preis: 2.1‰âÂ und Fassbier 3‰âÂ; Garage?,2,,,,,,,,,,,5/31/2016;
FriedrichstraÌÙe,7a,EG,0,Buddy's,Bar,,,,,,,,10,1,,,,5/31/2016;;
FriedrichstraÌÙe,5,EG,???,Befried,Fast Food,Vegan,,,,,true,,,,,,,5/31/2016;;
FriedrichstraÌÙe,5,EG,???,Bayern StÌ_berl,Kneipe,,,,,,true,,,,,,,5/31/2016;;
FriedrichstraÌÙe,5,EG,???,Goldenstar,Spielhalle,,,,,,true,,,,,,,5/31/2016;;
Reeperbahn,115,EG,4,Sexy Angel,Sexshop,,,,,,true,,,,,,,5/24/2016;;
Hans-Albers-Platz,9,EG,4,Kizzeria Bar & Lounge,Bar,inkl. Kiosk; vier groÌÙe Sonnenschirme,,TRUE,,,,,150,,,true,,5/24/2016;
Hans-Albers-Platz,8,EG,5,Quer Club,Bar,acht groÌÙe Sonnenschirme; alles seitlich abgetrennt; Anwohner Aussage: fÌ_hlen sich sehr gestÌ¦rt und eingeschrÌ_nkt (Zitat: besoffene Horde von EnglÌ_ndern),,,,,true,,300,,true,true,,5/24/2016
Hans-Albers-Platz,6,EG,2,Pizzeria Alt,Restaurant,Italiener,,TRUE,,,,true,30,,,,,5/24/2016;;
Hans-Albers-Platz,6,OG,2,Hotel Alt Hamburg,Hotel,,,,,,,,,,,,,5/24/2016;;
Hans-Albers-Platz,5,EG,2,Rodizo Steakhouse,Restaurant,Steakhaus,,,,,,,40,,,,,5/24/2016;;
Hans-Albers-Platz,3,EG,4,Maryå«s Kult-Bar,Bar,ehmals Mary Lou's: http://st.pauli-news.de/tageslicht/mary-lous-wird-marys-cult-bar-20-flight-rock-oeffnet-wieder/,,,2016,,TRUE,,,,,,,5/24/2016;;
Hans-Albers-Platz,3,EG,4,Hesburger,Fast Food,BÌ_rger,,,,,TRUE,,,,,,,5/24/2016;;
Hans-Albers-Platz,3,EG,4,Rotlicht,Bar,,,,,,TRUE,,,,,,,5/24/2016;;
Hans-Albers-Platz,2,Haus,3,,Wohnungen,,,,,,TRUE,,,,,,,5/24/2016;;
Hans-Albers-Platz,1,EG,3,KING,Kneipe,,,,,,TRUE,,,,,,,5/24/2016;;
FriedrichstraÌÙe,21,EG + OG,5,Fritzbar + Platzhirsch,Bar,,,,,,TRUE,,,,,,,5/24/2016;;
FriedrichstraÌÙe,19,EG,5,Hans-Albers-Klausel,Kneipe,abgetrennt durch kleine WÌ_nde und Ì_berdacht durch zwei groÌÙe Sonnenschirme,,,,,TRUE,,120,,TRUE,TRUE,,5/24/2016;;
FriedrichstraÌÙe,17,Haus,1,Frieda B.,Bar,Ì_berdacht durch vier groÌÙe Sonnenschirme,,,,,FALSE,,120,,,TRUE,,5/24/2016;;
Hans-Albers-Platz,20,EG,3,Hans-Albers-Eck,Bar,Ì_berdacht durch zwei groÌÙe Sonnenschirme,,,,,,,60,,,TRUE,,5/24/2016;;
Hans-Albers-Platz,20,EG,3,Hans to go,Kiosk,gehÌ¦rt zum Hans-Albers-Eck; Ì_berdacht durch zwei groÌÙe Sonnenschirme,,,,,,,60,,,TRUE,,5/24/2016;
Hans-Albers-Platz,18,EG,2,London Pub,Pub,Ì_berdacht durch zwei groÌÙe Sonnenschirme,,,,,,,150,,,TRUE,,5/24/2016;;
Hans-Albers-Platz,17,EG,2,Scandinavien Club Hamburg,Bar,Musik-Bar; Ì_berdacht durch einen groÌÙen Sonnenschirm,,,,,,,120,,,TRUE,,5/24/2016;
Hans-Albers-Platz,16,EG,3,The Academy,Bar,Live Musik-Bar; Ì_berdacht durch zwei groÌÙe Sonnenschirme,,,,,,,120,,,TRUE,,5/24/2016;
Hans-Albers-Platz,15,EG,3,Drafhouse Hamburg,Bar,im Impressum steht Hausnr. 20 und die Seite sieht aus wie die vom Hans-Albers-Eck; Live Musik-Bar; im Hinterhof,,,,,,,,,,,,5/24/2016
Hans-Albers-Platz,14,EG,3,Molly Malone,Irish Pub,im Impressum steht Hausnr. 20 und die Seite sieht aus wie die vom Hans-Albers-Eck,,,,,,,,,,,,5/24/2016;;
Spielbudenplatz,31,Haus,3,Davidwache,Polizeikommissariat,Polizeikommissariat 15,,,,,,,,,,,,4/20/2016;;
Spielbudenplatz,29-30,Haus,2,St. Pauli Theater,Theater,Vater und Sohn Betrieb; Konzertagentur; Theateragentur,,,,,FALSE,,,,,,,4/20/2016
Spielbudenplatz,29,EG,2,sanktpaulibar,Bar,gepachtet vom St. Pauli Theater,,,,,FALSE,,25,,,,,4/20/2016;;
Spielbudenplatz,28,EG,2,Glanz & Gloria im Schmidts TIVOLI,Bar,GetrÌ_nkeliste: Bier 2.9‰âÂ ist durchgestrichen --> vermutlich teurer geworden,4,,,,FALSE,,,,,,,4/20/2016;;
Spielbudenplatz,27,Haus,2,Schmidts TIVOLI,Theater,inkl. Hausbar welche direkt an Platz liefert wie z.B. Currywurst+Astra,,,,,FALSE,,,,,,,4/20/2016;;
Spielbudenplatz,27,EG,2,Angie's Nightclub,Diskothek,livemusik/tanzen/cocktail; Ì¦ffnet direkt nach der Theatervorstellung bis open End,,,,,FALSE,,,,,,,4/20/2016;
Spielbudenplatz,24,Haus,4,Schmidt Theater,Theater,inkl. Hausbar; weiteres Gewerbe im Haus,,,,,FALSE,TRUE,,,,,,4/20/2016;
Spielbudenplatz,21-22,Haus,5,Klubhaus,,BID; LED Animation zeigt Infos zum BID; weitere Infos siehe HP: http://klubhaus-stpauli.de/,,,,,FALSE,TRUE,,,,,TRUE,4/20/2016
Spielbudenplatz,21-22,EG,5,Sommersalon,Bar,im Sommer zwei AuÌÙentheken (MÌ_rz bis September); ,,,,,FALSE,TRUE,48,,,,TRUE,4/20/2016;
Spielbudenplatz,21-22,EG,5,Schmidtchens Alte Liebe,Bar,ab 22h wird die Bar zum Club,,,,,FALSE,TRUE,88,,,,,4/20/2016;;
Spielbudenplatz,21-22,EG,5,Schmidtchen Theater,Theater,,,,,,FALSE,TRUE,,,,,,4/20/2016;;
Spielbudenplatz,21-22,UG,5,Bahnhof Pauli,Club,Genre: Techno; FrÌ_hclub...,,,,,FALSE,TRUE,,,,,,4/20/2016;
Spielbudenplatz,21-22,OG,5,HÌ_kken,Bar,erst Lounge/Bar dann teilweise spÌ_ter Club/Party (Kooperativ); Bier Ì_ber 3‰âÂ,4,,,,FALSE,TRUE,,,,,,4/20/2016;
Spielbudenplatz,21-22,OG,5,Kukuun,Bar,teure GetrÌ_nke,,,,,FALSE,TRUE,,,,,,4/20/2016;;
Spielbudenplatz,21-22,OG,5,Lasertag,Unterhaltung,,,,,,FALSE,TRUE,,,,,,4/20/2016;;
Spielbudenplatz,19,Haus,3,Docks,Club,Konzerte und Clubpartys; Verwaltung und eine Wohnung in den OGs; Prinzenbar gehÌ¦rt auch dazu ,,,,,TRUE,TRUE,,,,,TRUE,4/20/2016
Spielbudenplatz,18,EG,4,Condomerie,Sexshop,erst spezieller Kondomverkauf; inzwischen Sexshop bzw. Tourishop; Betreiber ist auch in der Betreibergesellschaft Spielbudenplatz,,,,,TRUE,TRUE,,,,,,4/20/2016
Spielbudenplatz,18,EG,4,MAN WAH,Restaurant,Chinesisch,,,,,,,,,,,,4/20/2016;;
Spielbudenplatz,Platz,,,St. Pauli Theater,AuÌÙenbar,blauer Kontainer,,,,,,,150,,,,,4/20/2016;;
Spielbudenplatz,Platz,,,Pura Vida,AuÌÙenbar,grÌ_ner Kontainer,,,,,,,150,,,,,4/20/2016;;
Spielbudenplatz,Platz,,,Sommersalon Kontainer,AuÌÙenbar,zwei orangene Kontainer,,,,,,,300,,,,,4/20/2016;;
Spielbudenplatz,Platz,,,heiÌÙe Ecke,AuÌÙenbar,bei der ehemaligen BÌ_hne welche Ende 2015 abgebrannt ist,,,,,,,180,,,,,4/20/2016;;
Spielbudenplatz,Platz,,,BÌ_hne,VeranstaltungsflÌ_che,,,,,,,,,,,,,4/21/2016;;
Spielbudenplatz,Platz,,,Olivias Biergarten,AuÌÙenbar,insgesamt drei HÌ_tten fÌ_r den GetrÌ_nkeverkauf; Ticketverkauf und Start von den Touritouren; sieht ungenutzt aus,,,,,,,24,,,,,4/21/2016
Spielbudenplatz,Platz,UG,,Reeperbahn Garagen,Garage,,,,,,,,,,,,,4/21/2016;;
Spielbudenplatz,4-17??,FlÌ_che,,ehemaliges Essoareal,,BauflÌ_che; groÌÙflÌ_chige WerbeflÌ_chen,,,,,,,,,,,,4/20/2016;
Spielbudenplatz,3,Haus,1,Panoptikum,Unterhaltung,Betreiber ist Mitglied im Lenkungsausschuss BID und vorher auch Mitglied in der IG St. Pauli gewesen,,,,,,,,,,,,4/21/2016;;
Spielbudenplatz,1,Haus,2,Stage Operettenhaus,Theater,Musical und Theater,,,,,,,,,,,,4/21/2016;;
